objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
phys_017,phys_003,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/clam5.jpg,/objects/small/clam5_sm.jpg,/objects/thumbs/clam5_th.jpg,interior of a clam sculpture a pattern of four rows of bumpy protrusions adorns the top half of the open shell,
phys_018,phys_003,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/clam6.jpg,/objects/small/clam6_sm.jpg,/objects/thumbs/clam6_th.jpg,interior of a clam sculpture- the bottom half of the shell. a series of gashes and bumpy pieces are carved into the interior of the clam,
phys_019,phys_003,The Clam: Physicalization of Endometriosis,Alison Long,06-25-2024,"In this project, creator Alison Long converted data from a survey about endometriosis, a chronic health condition in which tissue similar to the uterine lining grows outside the uterus, into a sculptural piece made of multi-colored foam clay.  The project expresses information about the lived experience of endometriosis, which includes severe pain, fatigue, and emotional distress, through a tactile representation of the survey data.  The data's position on the interior of the smooth, sculpted, shell, is reflective of the invisible nature of endometriosis to outsiders.  The survey data used can be found here: Oehmke, F., Weyand, J., Hackethal, A., Konrad, L., Omwandho, C., & Tinneberg, H. R. (2009). Impact of endometriosis on quality of life: a pilot study. Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology, 25(11), 722–725. https://doi.org/10.3109/09513590903159607.",data art; data physicalization; endometriosis; gender-affirming care; reproductive health,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use. If you remix, adapt, or build upon the material, you must license the modified material under identical terms. CC BY-SA includes the following elements: BY: credit must be given to the creator. SA: Adaptations must be shared under the same terms.",https://creativecommons.org/licenses/by-sa/4.0/,image,/objects/clam7.jpg,/objects/small/clam7_sm.jpg,/objects/thumbs/clam7_th.jpg,interior of a clam sculpture- pearls and additional wavy sculptural pieces are removed to show the pattern of grooves and bumps in the interior clam more clearly,
phys_004,,Earth Crust Relics Library: the Void,Nene Villalobos,07-23-2024,"For this piece, creator Nene Villalobos expressed data about the ecological and social impact of large Amazon warehouses on a local community in the Inland Empire through a sculptural piece made of bristol board.",data art; data physicalization; Climate justice; Express highways; Warehouses--Conservation and restoration,"Ontario, CA, Intersection of I-10 and I-15",34.067425,-117.544874,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"CC BY-NC 4.0: This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format for noncommercial purposes only, and only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,compound_object,,,,,
phys_020,phys_004,Earth Crust Relics Library: the Void,Nene Villalobos,07-23-2024,"For this piece, creator Nene Villalobos expressed data about the ecological and social impact of large Amazon warehouses on a local community in the Inland Empire through a sculptural piece made of bristol board.",data art; data physicalization; Climate justice; Express highways; Warehouses--Conservation and restoration,"Ontario, CA, Intersection of I-10 and I-15",34.067425,-117.544874,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"CC BY-NC 4.0: This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format for noncommercial purposes only, and only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,image,/objects/earth1.jpg,/objects/small/earth1_sm.jpg,/objects/thumbs/earth1_th.jpg,a wooden carved piece of thin wood- the shape ressembles a lizard resting on a cross with star-like protrusions extending from the center of the piece. A pattern of black symbols is emblazoned on the right most section of the cross.,
phys_021,phys_004,Earth Crust Relics Library: the Void,Nene Villalobos,07-23-2024,"For this piece, creator Nene Villalobos expressed data about the ecological and social impact of large Amazon warehouses on a local community in the Inland Empire through a sculptural piece made of bristol board.",data art; data physicalization; Climate justice; Express highways; Warehouses--Conservation and restoration,"Ontario, CA, Intersection of I-10 and I-15",34.067425,-117.544874,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"CC BY-NC 4.0: This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format for noncommercial purposes only, and only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,image,/objects/earth2.jpg,/objects/small/earth2_sm.jpg,/objects/thumbs/earth2_th.jpg,close up of the center of the piece the central spine of the piece is made of a series of overlapping circles of carved wood layered over the cross shape,
phys_022,phys_004,Earth Crust Relics Library: the Void,Nene Villalobos,07-23-2024,"For this piece, creator Nene Villalobos expressed data about the ecological and social impact of large Amazon warehouses on a local community in the Inland Empire through a sculptural piece made of bristol board.",data art; data physicalization; Climate justice; Express highways; Warehouses--Conservation and restoration,"Ontario, CA, Intersection of I-10 and I-15",34.067425,-117.544874,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"CC BY-NC 4.0: This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format for noncommercial purposes only, and only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,image,/objects/earth3.jpg,/objects/small/earth3_sm.jpg,/objects/thumbs/earth3_th.jpg,side view of the piece - the star like protrusions and spine of the piece are three dimensional and jut out towards the viewer,
phys_023,phys_004,Earth Crust Relics Library: the Void,Nene Villalobos,07-23-2024,"For this piece, creator Nene Villalobos expressed data about the ecological and social impact of large Amazon warehouses on a local community in the Inland Empire through a sculptural piece made of bristol board.",data art; data physicalization; Climate justice; Express highways; Warehouses--Conservation and restoration,"Ontario, CA, Intersection of I-10 and I-15",34.067425,-117.544874,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,"CC BY-NC 4.0: This license enables reusers to distribute, remix, adapt, and build upon the material in any medium or format for noncommercial purposes only, and only so long as attribution is given to the creator.",https://creativecommons.org/licenses/by-nc/4.0/,image,/objects/earth4.jpg,/objects/small/earth4_sm.jpg,/objects/thumbs/earth4_th.jpg,zoomed out view of the left of the piece. the cross base of the piece is carved with several gaps,
phys_005,,Queer Data Portraits,Morgan King,07-23-2024,"For this piece, creator Morgan King converted personal data about their close friends into data portraits. The project encodes information about each person through colorful fabrics and embroidery, to explore themes of queer identity and connection.",data art; data physicalization; LGBTQ+ chosen families; Friendships; Personal Identity,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,In Copyright- Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,compound_object,,,,,
phys_024,phys_005,Queer Data Portraits- Gioia,Morgan King,07-23-2024,"For this piece, creator Morgan King converted personal data about their close friends into data portraits. The project encodes information about each person through colorful fabrics and embroidery, to explore themes of queer identity and connection.",data art; data physicalization; LGBTQ+ chosen families; Friendships; Personal Identity,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,In Copyright- Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/gioia1.jpg,/objects/small/gioia1_sm.jpg,/objects/thumbs/gioia1_th.jpg,"A rectangular blue, yellow and green piece of fabric. A photograph of a person standing in front of a wall of foliage is tucked into a pocket on the piece. Curving lines of decorative blue and yellow embroidery adorn the peice. Small pieces of fabric are tacked onto the piece- a scorpio symbol, orange and red outlines of human figures, a yellow circle, and a red circle.",
phys_025,phys_005,Queer Data Portraits- Joseph,Morgan King,07-23-2024,"For this piece, creator Morgan King converted personal data about their close friends into data portraits. The project encodes information about each person through colorful fabrics and embroidery, to explore themes of queer identity and connection.",data art; data physicalization; LGBTQ+ chosen families; Friendships; Personal Identity,"144 W 14th St 6th floor, New York, NY 10011",40.73816548,-73.99900108,"Summer Data Physicalization Class, Pratt School of Information",,Image;StillImage,image/jpeg,eng,In Copyright- Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/joseph1.jpg,/objects/small/joseph1_sm.jpg,/objects/thumbs/joseph1_th.jpg,"A rectangular black and white striped fabric with tacked on green and silver scraps and purple overlay. A photograph of a bespecktacled person in a baseball cap holding up a cell phone to a mirror is tucked into a pocket on the piece. Curving lines of decorative orange and dark blue embroidery adorn the peice. Small pieces of fabric are tacked onto the piece- an aquarius symbol, blue and white outlines of human figures hugging, a yellow circle, and an orange circle.",
